regular_wages,overtime_wages,other_wages
116114.4,0,85000
192681.58,0,8271.84
200912.43,0,0
200470.4,0,0
195683.52,0,4709.5
195683.52,0,4709.5
114863.74,25406.89,60121.74
127539.36,14666.61,58013.77
139009.28,0,60876.44
116641.1,82266.2,900
194148.22,0,5611.8
199680,0,0
199680,0,0
199623.02,0,0
199623.02,0,0
199623.02,0,0
199623.02,0,0
199623.02,0,0
199622.02,0,0
199622.02,0,0
199622.02,0,0
199622.02,0,0
199622.02,0,0
194831.43,0,4683.5
199377.07,0,0
179078.11,0,20000
198952.3,0,0
190584.32,0,8265.6
145667.09,21991.99,31132.26
198735.75,0,0
193439.46,0,5214.38
166367.01,27698.06,4579.7
190940.16,0,7596
153365.71,26416.77,18717.16
175632.32,425.25,22423.24
167381.44,0,31016.92
193958.72,0,4439.5
170349.62,0,28047.75
198386.36,0,0
188922.02,0,9412.84
198244.41,0,0
153698.23,26858.17,17677.21
198073.23,0,0
198045.32,0,0
196054.4,0,1922.6
197976.37,0,0
197926.09,0,0
193218.24,0,4500
149125.44,10086.5,38497.39
197489.92,0,0
173232.19,11150.73,12861
192593.64,0,4586.5
192593.6,0,4586.5
192593.6,0,4586.5
158752.8,32025.87,6346.62
185612.26,11152.02,0
172877.04,23380.48,436.79
165378.24,0,31150.4
196475.41,0,0
139009.28,1003.8,56444.82
165193.6,0,30919.18
184664.99,3003.53,8227.12
195840,0,0
195683.55,0,0
195683.53,0,0
195683.52,0,0
195683.52,0,0
138737.12,0,56885.2
139283.58,26344.66,29909.57
190940.16,0,4596
190940.16,0,4596
190940.16,0,4596
190940.16,0,4596
190940.16,0,4596
190940.16,0,4596
157651.2,0,37808.55
190856.96,0,4594
190670.57,0,4733.56
195316.94,0,0
157283.36,151.2,37712.36
190253.44,0,4582
140210.56,24275.08,30285.98
189564.67,0,5065.13
194611.58,0,0
190827.4,0,3764.63
143299.2,0,51129
194283.81,0,0
77788,108572.32,7903.52
189550.4,0,4556.5
170412.66,23668.63,0
174981.5,19032.75,0
193880.49,0,0
51844.49,0,141921.02
193759.72,0,0
161325.48,22380.66,10010
190812.16,0,2879.85
193616.8,0,0
141943.25,20880.12,30678.16
188672.01,0,4474.45
118658.44,74415.41,0
166379.88,0,26518.88
181961.6,0,10810.68
192610.83,0,0
155808.46,24604.02,11846.38
93292.8,0,98624.95
183760.76,3541.53,4426.91
181227.84,0,10500
187227.52,0,4435
166779.36,0,24860.13
191541.94,0,0
183874.45,7613.1,0
170912.15,18150.99,2400.92
171438.15,0,20000
180477.77,297.68,10573.88
189679.38,0,1500
155065.54,0,36047
186596.8,0,4485.5
190940.16,0,0
190940.16,0,0
190940.16,0,0
190940.16,0,0
190940.16,0,0
161812.16,3462.29,25510.89
186284.8,0,4478
186284.8,0,4478
139009.28,0,51616.16
162598.24,0,28025.82
107965.18,0,82639.18
109786.98,29938.3,50788.36
190441.6,0,0
190216.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190116.95,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
190116.94,0,0
184686.72,0,5337.6
154797.66,17365.14,17829.64
186355.21,0,3588
186355.2,0,3588
186355.2,0,3588
189943.04,0,0
189943.04,0,0
189943.04,0,0
189679.36,0,0
116660.18,69272.52,3552.21
174831.69,13849.02,748.92
112241.28,0,77169.57
189324.3,0,0
189278.55,0,0
189160.04,0,0
189160.03,0,0
189160.02,0,0
189160,0,0
189127.68,0,0
147708.43,29966.1,11374.29
149125.45,0,39765.48
184438.73,0,4439.5
184438.72,0,4439.5
184438.72,0,4439.5
184438.72,0,4439.5
184438.72,0,4439.5
165032.83,0,23698.41
132931.98,29967.83,25815.79
176941.76,0,11620.31
186284.8,0,2239
141179.95,35763.73,11452.26
149100.81,2871.6,36402.62
188354.4,0,0
183607.36,0,4419.5
183607.36,0,4419.5
183607.36,0,4419.5
183560.01,0,4412.5
183560,0,4412.5
183560,0,4412.5
183560,0,4412.5
166630.24,0,21325.8
183377.3,0,4419.5
186280.97,0,1500
176781.36,0,10927.55
183227.21,0,4404.5
102041.34,0,85469.2
187487.37,0,0
184438.72,0,3000
184337.94,0,3000
139009.28,48213.66,0
185714.57,0,1500
187210.44,0,0
187210.4,0,0
187189.6,0,0
186943.92,0,0
139009.28,17850.36,30074.57
186920.22,0,0
153286.53,21024.72,12488.21
183769.87,0,3000
186669.6,0,0
186617.6,0,0
183769.87,0,2831.51
178227.84,0,8290
186384.96,0,0
186355.2,0,0.27
186355.21,0,0
186355.21,0,0
186355.2,0,0
186355.2,0,0
186355.2,0,0
186355.2,0,0
186355.2,0,0
186355.2,0,0
186355.2,0,0
186355.2,0,0
186355.2,0,0
186355.2,0,0
186355.2,0,0
186355.2,0,0
186355.2,0,0
186355.2,0,0
186355.2,0,0
185714.56,0,580.9
186284.8,0,0
186284.8,0,0
125964.82,27093.01,33189.65
186197.76,0,0
183090.92,0,3000
185996.4,0,0
185915.01,0,0
185915.01,0,0
137657.27,22235.16,25980.02
185250.92,0,537.57
185727.76,0,0
124336.97,6834.65,54533.62
160222.64,0,25377.34
178227.84,0,7290
185504.21,0,0
123077.92,51740.62,10501.64
183458.19,0,1743.47
180793.6,0,4346
142875.69,33672.28,8499.22
150309.8,29540.21,5160.38
96986.37,0,87970.47
181906.64,0,3000
184905.2,0,0
143656.44,8799.98,32404.06
111419.64,37999.36,35387.79
184765.73,0,0
141231.63,34818.38,8648.34
184681.86,0,0
184641.61,0,0
180294.4,0,4334
180294.4,0,4334
171962.09,0,12636.63
184581.78,0,0
184506.4,0,0
184476.84,0,0
184438.72,0,0
184438.72,0,0
184375.04,0,0
155751.69,1424.79,26939
177995.7,0,6056.59
183543.15,0,455.73
146900.86,37074.09,0
178751.36,0,5162.4
121400.24,19647.34,42803.51
