ticker,salary,bonus,stock_awards,option_awards,non_equity_comp,pension_change,other_comp
CRH,1848196,0,7946373,0,2495065,857367,24080
VC,1101250,0,9794540,0,1602813,0,651887
O,1000000,0,7398815,0,4055087,0,674908
NRG,1301517,0,11498588,0,0,0,328055
GFF,1212614,0,2432249,0,9066667,0,398016
ACGL,1225000,0,4972757,1578304,4900000,0,426191
JAKK,1741267,5548203,5726466,0,0,0,71478
RARE,823692,0,9456663,2161782,622656,0,13200
EFX,1500000,0,8080418,2019634,944110,0,505646
FHN,1087418,0,9243562,0,1434375,1134668,143018
WY,1275000,0,9406128,0,2001000,330403,9900
NOV,989154,0,8122845,2245359,1583406,18678,15740
CE,1294178,0,6649930,2849970,2036518,0,142366
BXP,950000,0,9261028,0,2721300,0,31636
PCOR,545000,0,11807058,0,541866,0,24415
CF,1350000,0,8754185,0,2454300,39712,301362
EW,972814,0,5099085,5500679,1234207,0,62235
ZNTL,701425,0,5789520,5890563,455000,0,17082
CMI,1500000,0,6186989,0,3266250,1834671,58158
IP,1450000,0,10551707,0,493700,0,350119
XRX,1000000,0,8556086,0,3278700,0,9900
AMKR,1000000,0,10831472,0,877500,0,135274
TROW,350000,0,5100097,0,7300000,0,91834
MRO,1200000,0,8668144,0,1980000,597888,384190
RDN,1000000,0,9080151,0,2600000,0,108189
ZBH,841676,0,11750072,0,0,0,169563
BDC,847102,0,9767895,950346,823500,0,369390
ARMK,1300000,0,7652182,2849251,890117,0,39282
NTRA,751052,0,11133142,0,833793,0,9900
AES,1241000,0,8796107,0,2364105,0,314982
MAN,1300000,0,10400015,0,727047,0,285291
DGX,1175000,0,7290745,2499848,1361531,0,346710
WTW,1000000,0,8499764,0,2499508,156923,512637
ULTA,1350003,0,6190080,2652857,2377517,0,93423
KBR,1226983,0,4630378,0,6656775,11507,134277
CCS,1000000,0,4565181,0,7000000,0,78501
VKTX,615000,0,7937803,3703158,372100,0,0
CHE,1604000,0,2511638,4200094,2923712,0,1385662
WRK,1300500,0,9544333,0,1490029,0,280750
LNTH,873628,0,8332445,1874997,1484050,0,13725
CLS,987671,0,8285000,0,2963014,281273,57960
KRC,1225000,0,7051689,0,3750000,0,535853
PHM,1000000,0,7406576,0,4089119,0,35213
IONS,1405250,3546849,4310045,2259883,0,0,977996
CLVT,902472,0,10579343,0,985500,0,13530
WOLF,875000,0,11285988,0,306250,0,10601
MAS,1274354,0,5876604,2442978,2658900,8768,214777
CIVI,1352500,2047500,9008479,0,0,0,54666
DDS,1170000,0,361008,0,3574800,6948705,396991
ISRG,955000,0,7385307,2442064,1610743,0,56267
TNL,1300792,0,9799932,0,1112668,0,210686
KMI,498077,0,11000016,0,850000,40917,16500
PWP,500000,5878935,6015135,0,0,0,10500
ABR,1200000,7265264,3927947,0,0,0,6600
XPO,850000,0,9084498,0,2438650,0,14463
PODD,842308,0,7599900,1899897,2027760,0,9900
DLR,802308,200000,8952335,0,1610000,0,790917
EXLS,815000,0,9982605,0,1514253,0,34148
AVTR,1140000,0,8529219,2437053,188100,7895,36500
CRSP,724500,0,4435690,6531705,618723,0,11578
AGNC,900000,6399000,5000000,0,0,0,19800
COMM,1300000,0,10724999,0,195000,0,80464
EXR,900000,0,9059042,0,1393875,0,927784
MCHP,643126,75599,8714501,0,2828128,0,14961
EXC,1244271,0,7951800,0,2265900,320832,483917
FCFS,1321593,0,7016337,0,3805580,0,113385
VRSN,950000,0,9999781,0,1265400,0,30720
PBF,990000,2828925,7836098,0,0,556352,29497
BR,1016667,0,3936728,4796017,1497756,936348,51762
CHDN,1626923,0,7051043,0,3511979,0,21689
TAP,1237671,0,5874071,1335003,3434535,0,329278
TRTN,1010000,0,3671027,6500000,1010000,0,19311
AXL,1250000,0,5161125,0,4841438,53238,892871
LKQ,1087534,0,5800064,0,5133411,0,168012
BAH,1500000,0,8500083,0,1875600,10000,298102
UWMC,600000,0,1153600,0,9153144,0,1261375
BBIO,742000,779100,6123793,4499993,0,0,13740
OHI,895000,428441,9972490,0,846559,0,6283
PCVX,640000,0,2244971,8756228,480000,0,14484
MYGN,1086750,0,9796451,0,1168440,0,56718
LTH,1500000,0,6750014,3749996,0,0,89462
SQ,555000,0,5736827,5751323,0,0,5000
ZLAB,868500,0,1901226,8442237,815882,0,14440
JLL,1032158,0,8688178,0,2286000,0,35047
TFC,1200000,0,6843578,0,2650167,1107866,236035
MSGS,519231,0,3976002,0,1299000,0,6234159
SMG,720000,0,7881576,2740931,0,0,652059
OLN,1250000,0,4754436,4545892,1165500,0,266703
WLK,1252965,0,4819447,2030507,3553139,0,315428
PPL,1201326,0,6442931,0,2013800,2198654,112845
HOG,1948000,0,6500029,0,3093600,0,411651
GPK,1316300,0,7291291,0,2718818,70380,540714
CCK,1370000,0,7671945,0,2820488,0,65790
TTEK,1196154,0,6859003,0,3767040,0,63321
MOS,1358063,0,8726167,0,843400,0,953574
IVZ,625000,0,8323081,0,2801250,0,115600
TPX,1133000,0,8298422,0,2126075,0,272690
STLD,1485000,0,5023287,0,5197500,0,117875
EME,1235000,0,2699984,0,7728750,0,159271
HALO,920000,0,6200011,3800007,883476,0,17364
RSG,1113077,0,7842000,0,2594515,0,262466
SPR,968767,0,9529351,0,0,0,1308949
RBC,1119493,0,7048379,1643723,1760822,0,233072
WPC,1000000,0,9254316,0,1500000,0,33000
OVV,1082500,0,7750017,0,2543875,0,407547
PEG,1293800,0,8000097,0,1833300,611000,40666
UDR,900000,0,10807024,0,0,0,47991
NEM,1435000,0,8896322,0,710325,652107,53350
FIZZ,0,0,0,0,0,0,11729324
BERY,1202000,0,5167001,2971726,1893150,0,476734
CPB,1202833,0,7301734,0,2468400,0,726855
BBWI,1500000,0,7333900,0,2547900,0,312713
QRVO,956437,0,9999943,0,726354,0,11022
IMCR,735000,0,0,10299998,606375,0,37461
NEO,1000000,0,5986768,2816870,1850000,0,12308
NTLA,660000,429000,6829976,3707043,0,0,31243
WEX,875000,0,6619058,2206265,1775813,36186,138349
CLX,1168269,0,5599719,1399981,3121313,1293,359076
DDOG,400000,0,10908938,0,335546,0,450
MIGI,447115,1002354,9387892,799000,0,0,0
TDOC,764167,0,10000006,0,836363,0,13200
NEXT,750000,805194,8244858,0,1787500,0,0
IDXX,1000000,0,2187697,6562842,1737500,0,31270
KFY,1000000,0,9335918,0,1087478,0,94049
FBHS,1239423,0,6000036,1999996,1972750,0,275234
ACM,1254387,0,8306165,0,1686948,7840,204612
TSAT,1427856,0,3962128,0,3815720,821000,1432032
NVRO,515625,0,10080173,0,402750,0,455000
TIAA,1000000,6880000,0,0,3418173,0,150262
STX,973084,0,8380742,2074982,0,0,7400
BYD,1550000,0,6666287,0,3168200,0,26159
GPC,1245000,0,6500088,0,1689356,1670794,293036
DECK,1173077,0,7999562,0,2200822,0,18015
TSCO,1298077,0,6374641,2124967,1535547,0,41434
NTAP,1000000,0,9908566,0,448375,0,13482
DFH,1122308,0,4622282,0,5250000,0,372912
EQR,900000,0,6654190,1479286,2312145,0,15438
KHC,1100000,0,6264792,0,3367980,0,626478
RIG,1150000,0,8308561,0,1583550,0,313105
QTWO,520000,0,10182690,0,615571,0,36325
DCGO,581948,1093375,7568992,1568733,506625,0,31345
SJM,1143077,23000,5014262,1253526,2554426,1160679,199567
AM,364650,0,9999984,0,946194,0,5049
DNB,250000,0,10000008,0,600000,0,453640
EVGO,500000,0,1292461,9005446,500000,0,2388
UA,125000,175000,11000000,0,0,0,0
MOND,1,0,11243867,0,0,0,50000
VICI,1000000,0,6250000,0,4000000,0,27678
SBAC,1110000,0,8148621,0,1984347,0,18064
ZBRA,946205,0,10000537,0,224372,0,88782
SCI,1200000,0,5155621,2292620,1489914,0,1118573
OC,1200000,0,7111895,0,2633400,0,297961
WFRD,1000000,0,7723345,0,2400000,0,77465
PIPR,650000,3162500,3307681,3503250,0,0,568018
CHD,1183975,0,1808075,5424225,2530700,0,235191
YELP,500000,0,10318005,0,331353,0,30121
PLRX,610300,0,5069295,5099736,335665,0,51003
SWN,990385,0,5777729,0,4256022,22568,98811
RNA,634500,0,10140840,0,349000,0,15379
ELY,1095765,0,8979665,0,947100,0,83316
INGR,1195600,0,5182466,1599741,2363400,557470,203315
CFG,1487000,2097000,7345937,0,0,0,145334
SM,814200,0,4999989,0,4815816,295736,134889
WSO,600000,0,9999807,0,193,0,458336
NWLI,1197108,0,0,83384,1183939,8477943,114290
ENSG,517734,0,1916248,2912522,5676027,0,22864
WDC,1144231,0,9881692,0,0,0,5769
CSL,1400000,0,6047757,2432647,382200,365745,400737
OMCL,813100,0,9174870,0,985102,0,49000
URI,1087671,0,8046319,0,1844990,0,23276
JXN,1000000,0,6332212,0,3500000,0,143110
TGNA,975000,1316250,8475002,0,0,50421,148960
SUI,900000,0,9283660,0,747000,0,16086
APH,1455000,0,0,9098783,0,8800,382124
VSCO,1250000,0,8851198,0,788738,0,35315
J,1177404,0,7939420,0,1743141,0,38684
LVLU,496909,0,10379642,0,0,0,13200
PX,504514,69967,5828537,1625559,0,0,2839816
CPSS,995000,0,0,5885850,3980000,0,351
USM,866882,1226060,8028781,0,644670,339,93407
BJ,1350005,0,7999978,0,1215000,0,293569
FFIV,962000,0,9853662,0,0,0,41104
CVLT,645000,0,9722388,0,462465,0,22950
BC,1162885,0,8179896,0,1114000,0,389617
MTH,900000,0,4248118,0,5625000,0,62525
ODP,1100000,0,8000000,0,1659900,0,75379
PK,1000000,0,7389520,0,2440734,0,960
XYL,1188923,0,5205980,1687514,2466750,0,276282
DV,550000,0,9656572,0,588500,0,15596
VZ,983333,0,8000027,0,1635000,2959,188884
BFLY,588942,1101712,9117333,0,0,0,630
JBLU,722917,3060867,5449979,0,1514200,0,31962
TKR,1145380,0,5982334,0,1857835,1258413,534447
HRTX,492986,0,547273,9257049,326957,0,151553
CFXA,1077000,0,5678701,1750010,1806668,0,462256
KEYS,895833,0,8592791,0,1157979,70599,33721
IFF,1300000,0,8249977,0,1121250,0,76426
SEM,995000,0,7480000,0,1890500,0,340765
NSIT,925000,0,8218464,0,1533188,0,17070
AGR,1150000,690000,7322440,0,1253500,0,273852
HAE,1012885,0,5924933,1499980,2200000,0,48597
RUSHA,1711608,3928500,3888150,620550,0,0,535295
ADP,966000,0,7304354,0,2094400,1879,315685
PTVE,1282059,0,6445003,0,2712035,0,242440
CROX,1100000,0,7249993,0,2268200,0,60214
LPX,1146154,0,7577416,0,1753737,0,193286
WH,1143719,0,6999979,0,2108404,0,409921
NN,50000,0,10438445,0,165000,0,0
JATT,420620,0,0,10202828,0,0,22316
AEP,1200000,0,8321524,0,787503,210263,114455
GTN,1458000,0,5832007,0,3184871,0,155648
LECO,1107600,0,4196532,2068853,2777943,138395,320347
CASY,1150000,0,6336938,0,3070500,0,49941
AX,700000,0,5225526,0,4667806,0,12200
EQT,1,0,9550925,0,1050000,0,0
SITM,650000,0,9573524,0,243750,0,129546
FLS,1200000,0,6270244,0,2670000,422246,20996
SNA,1142473,0,5532076,1323023,1800681,455232,321272
AUPH,822877,0,8999997,0,710760,0,39725
THO,750000,0,5621179,0,4196310,0,0
MUSA,1268963,0,4928555,1531569,2430808,0,398234
CDNA,556813,0,6831675,1704940,0,0,1458325
HRT,700000,0,9077000,0,700000,0,57502
FN,1150000,0,7499721,0,1794000,0,83887
CACI,1045833,0,6700105,0,1874250,640202,264411
VST,1262596,0,5999985,0,3158105,0,32690
JKHY,858750,0,8571735,0,991979,0,16562
OSK,1091539,0,6250252,0,2970551,0,123818
INSM,780000,0,2206232,6616654,702000,0,106374
RVMD,631121,0,2756000,6540026,477100,0,7000
MMI,700000,0,8646760,0,811850,240454,8500
AEL,1000000,0,4124977,0,3706000,0,1574589
INVH,990385,0,7500031,0,1891521,0,11385
ETR,1100000,0,5159370,1220557,1821600,982400,89281
APLS,734539,694688,4394319,4542373,0,0,7130
VRSK,925000,0,5919999,1480011,2004000,0,37556
MANH,700000,0,8500111,0,1113900,0,49445
NBR,1750000,0,5562922,0,1575968,7486,1437658
WCC,1313600,0,5850079,1950003,997515,0,220465
AIZ,1000000,0,6672937,0,2382000,0,276087
ALSN,1041667,0,4447041,1753054,2978981,0,107882
ALK,637692,0,7969932,0,1224388,94596,386446
LBRDA,690000,0,0,3594317,5786800,0,230516
FDMT,596640,0,0,9278715,394953,0,16500
SPNT,1144451,1540000,4889402,0,1001000,0,1707617
NYT,945962,0,6112262,0,3080354,13903,127604
DTE,1340000,0,6729046,0,896540,1176501,136011
CAR,1248000,0,5200116,0,2312170,0,1514635
PUBM,610000,0,5651864,3185555,823993,0,0
KEY,1200000,0,6299986,699997,1890000,27606,151129
NOG,850000,0,8115550,0,1149212,0,133936
DNUT,1100000,0,7925905,0,1173700,0,43259
JBL,990769,0,6219514,0,2905430,0,122258
CNXC,800000,0,6731789,0,2574000,0,129362
STAA,788462,0,4499989,4500006,430500,0,1624
TEX,1051923,0,6543682,0,2188809,0,424016
APG,1425000,0,5700030,0,3012094,0,60506
PYCR,578269,0,4500007,4500005,590850,0,20668
CRC,708654,279000,7673589,0,1221984,10234,292207
FIVE,1250000,0,7576450,0,1350000,0,8904
HBAN,1139583,0,5999987,0,2300000,77639,662270
NTRS,1000000,0,8500150,0,500000,138719,35891
FSLY,600000,0,8978088,0,586200,0,1180
GWW,1100000,0,6631385,0,2112000,0,317288
EPC,1095833,0,6360768,1200006,1727440,0,133081
CLOV,700000,0,9048230,0,396971,0,9500
GDRX,511538,219,0,9632100,0,0,669
DPZ,875000,0,5320715,1750084,1860250,0,329814
ALGM,484615,217000,8365115,0,1052384,0,9400
AB,500000,4515000,4995054,0,0,0,114201
RCUS,650000,0,2327514,6582319,550000,0,11112
XENE,666018,1593,0,9051114,359650,0,39454
JHG,725000,3082500,5950035,0,0,0,355563
TER,850000,317685,7445275,750024,733125,0,14328
CRI,1282692,0,6500098,0,1716000,0,589342
ITCI,891653,1426645,7749984,0,0,0,18131
SHW,873088,0,3885665,3399387,1746000,0,181372
YETI,1025000,0,7680891,0,1357613,0,13400
RVNC,720000,0,8810731,0,522720,0,15464
SNPS,593750,0,5655169,1875072,1938000,0,6000
RLGY,1000000,0,7147769,0,1900000,0,12012
MMSI,1888269,0,5216227,1599987,1339481,0,8700
SBTX,620000,0,0,7293000,260400,0,1865696
IAS,525000,0,8850746,0,625433,0,32699
STER,650000,0,6650007,2850002,518500,0,9900
CPE,940221,0,5526064,0,3422318,0,138584
MSA,982100,0,4436381,0,2206160,2253731,130279
PNR,1075041,0,4649995,1549963,1630743,1064217,38510
BHF,1000000,0,5999954,0,2680000,0,326031
HSIC,1625335,0,7395000,0,643652,0,341742
G,900000,0,8052254,0,967559,0,67533
SPTN,980769,0,4173604,0,4619543,0,203574
WU,1000000,0,5033400,1900000,1870000,0,163500
FCNCA,1010000,0,0,0,8506875,429578,14850
UGI,998078,0,6255097,1478593,1009750,0,218652
KTB,1237500,0,6843613,0,1556250,0,303698
ARWR,902522,0,8314056,0,700000,0,1515
CRK,880000,2900000,4517889,0,654720,0,963535
AFG,1250000,0,1500054,0,5308570,0,1855942
ARLO,790000,0,6550000,0,2553000,0,18634
RE,1250000,0,4753046,0,3250000,0,656485
ZWS,1005000,0,6500003,0,1695938,607572,97405
ENVA,956651,295541,4133472,3362440,820359,0,330483
AXSM,750000,0,2834520,5666648,562500,0,82961
WMK,1256865,0,0,0,8338469,0,274803
GNW,1000000,0,5306481,0,3200000,0,362437
SFIX,65385,400000,4070000,5211140,79396,0,27625
PPG,1005000,0,4898968,0,2940000,711688,285067
MAC,850000,2890000,5999983,0,0,0,85726
BKE,1200000,3103131,5202000,0,0,0,320268
TNET,950000,0,7000070,0,1853000,0,13200
HBI,1250000,0,7749995,0,752000,0,62082
FNF,947308,0,5510038,0,3236333,0,107906
BOOT,963849,0,4199994,4000031,603799,0,28136
HGV,1100000,0,4124959,2726680,1576575,0,266387
RCII,1100000,0,6502656,0,2138400,0,49995
CNO,1059167,0,6550350,0,1770339,0,408311
BRO,1000000,0,2941861,0,5500000,0,344884
LRN,880769,0,7146186,0,1695886,0,14892
AVT,1150000,0,6078268,0,2432526,27780,28253
GTES,1134129,0,5705428,0,2603530,0,267927
LNT,1130247,0,5191716,0,1444206,1354440,589173
SHC,1050000,0,3749995,3745697,1137938,0,17375
KOS,1127986,0,7599631,0,902389,0,67263
AXTA,1000000,0,6397949,0,1940000,0,356056
TDS,1352700,635800,7654987,0,0,5932,28097
KYMR,640000,0,0,8594942,422400,0,13200
HUBB,1091231,0,4249556,1394918,2442000,248969,239610
PAR,620000,0,8555929,0,463140,0,16483
BF,1250040,0,2075901,1786508,3387283,1095610,55920
HLLY,387692,700000,7614400,0,721000,0,217157
CMS,1235000,0,6033036,0,1945125,198,423851
FMC,1198750,0,5114362,2102443,787320,0,420562
EPAC,774519,0,6999985,0,1466325,0,367677
MTZ,1209615,0,7000000,0,1350000,0,44068
CMC,1171539,0,6184205,0,2023582,0,224299
BLKB,800031,0,8778735,0,0,0,17957
LUMN,1200000,0,6215329,0,1996800,0,180834
MELI,522883,2879862,0,0,6188431,0,0
ENR,970000,0,7246505,0,1210865,5635,153725
WES,880769,1068750,6631078,0,607500,0,377560
WEC,1085199,0,3461002,905967,3145494,449977,504540
GWRE,750000,0,7851062,0,943500,0,5930
OKE,835000,0,6274485,0,2101100,0,336989
SFM,1191347,0,5163430,1124995,2010397,0,23241
UPWK,570000,0,8594663,0,307800,0,35678
DLB,928750,0,5742876,1880530,916300,0,35745
ODFL,784387,0,1113075,0,7558433,2390,38326
APLT,630000,315000,8547136,0,0,0,1077
PFGC,1167308,0,6000052,0,2260401,0,59782
DIOD,805753,0,8365620,0,211905,341,100538
HOV,1116385,0,3826502,0,3800000,71083,668428
AVB,1000000,0,6029666,378140,2040600,0,31281
SWAV,716346,0,7789883,0,967500,0,5000
ATEC,713269,0,7687586,0,1040000,0,37124
ALKS,1178970,0,2897991,3933841,1414764,0,16500
AAP,302885,1000000,4593593,3523500,0,0,19108
THS,1093250,0,6970399,0,1208301,0,165147
PRM,524992,0,0,8440000,411342,0,45907
VTYX,596083,0,1524528,6982128,296010,0,13200
SLM,1100000,0,5789457,0,2475000,0,35028
WST,1136654,0,3250195,3250074,1666494,0,92479
FITB,1025385,0,5481769,900000,1622250,0,356322
MTB,1100000,2150000,4800120,1200010,0,11982,123445
NUVL,602800,0,0,8322916,431002,0,20154
FCN,1000000,0,6499708,0,1856224,0,16632
CORT,1083333,1320000,0,6911901,0,0,22500
ITT,1086733,0,5388142,0,2702700,0,158983
DAR,1260000,0,6159169,0,1792582,23414,97504
VNT,1072500,0,5953567,0,2106000,0,192856
PNW,1125000,0,5028405,0,1880049,1253907,34831
VERV,596760,0,0,8346534,363000,0,13488
BLL,1249038,0,2900025,2899992,2050485,174155,44861
LUV,700000,0,4105004,0,4096504,0,405791
REG,1000000,0,5536318,0,2712500,0,20217
TENB,487000,0,8299918,0,472878,0,0
OLED,878024,0,6781096,0,1543185,0,53347
SNX,990277,0,5759614,0,2486400,0,18343
GGG,985000,0,0,5499872,1299436,1425000,26758
CCOI,0,0,8716255,0,500000,0,9922
RF,1095481,0,3624103,0,4147280,25161,325693
NI,1041667,0,5208422,0,2500000,0,466592
AYI,1000000,0,6091382,0,1398800,711755,11880
CRTO,665000,0,7729000,0,768819,0,50844
MHO,1000000,0,1019472,2960400,3850000,0,378723
R,1030001,0,6179815,0,1667652,81250,247264
VRRM,616913,0,7939490,0,636445,0,13046
PRG,975000,0,4675007,1250010,2251895,0,40319
LDOS,817308,1450000,3468492,900004,2538000,0,13737
CMP,1124000,0,5997970,0,1921113,0,130655
VZIO,985000,1186250,6945607,0,0,0,34968
COLL,817038,0,7691315,0,612563,0,22008
PKI,1086539,0,5775022,1921023,315563,0,32477
SKIN,738462,0,6454465,0,0,0,1937275
RLJ,840000,0,6510572,0,1727000,0,51329
SNDX,678400,0,0,8023803,417216,0,8000
PLXS,1083846,0,5562053,0,2199544,0,280903
ASO,848846,0,5624931,1874995,119972,0,648338
TSVT,798532,0,6729637,1543185,0,0,13200
AL,1000000,0,5560668,0,2205000,0,310028
TFX,1060150,132519,2835227,3575961,1128102,0,307988
TYL,675000,0,8343692,0,0,0,9900
TTC,1129958,0,3599694,3692052,425260,0,178847
CDW,1000000,0,4000020,3999979,0,0,20377
IRDM,981033,0,7571432,0,301687,0,163121
AEE,1200000,0,5121903,0,1750000,763434,174094
ALLE,1030000,0,4429896,1375011,2025738,0,136800
DG,652461,0,0,7952550,0,0,375106
VIAV,895192,0,8078473,0,0,0,5000
HPK,2000000,975000,0,5520000,0,0,747950
QS,772240,0,8193074,0,0,0,0
ESRT,849721,1913625,6034573,0,0,0,165505
KSS,1475000,0,4699989,0,2209550,0,578350
FRT,1000000,0,6502565,0,1406250,0,33005
PTCT,747222,0,4545380,3152305,472800,0,19318
FOUR,50000,0,8449978,0,0,0,436931
MXL,700690,0,8234014,0,0,0,493
KROS,649135,107250,0,7806530,357500,0,11661
EVH,783333,1200000,6934655,0,0,0,13200
RPAY,500000,0,7952685,0,457875,0,12020
MLNK,600000,0,7963045,0,354960,0,4000
ATR,1118500,168000,4974288,1166652,769829,658184,59676
NVT,1012072,0,3937473,1312499,1773015,827825,49972
MORF,613502,0,3742960,4121756,412966,0,16500
ADPT,663000,0,7900711,0,318240,0,22316
ALNY,975800,0,3375150,3369000,1155000,0,20720
HTGC,650000,3200000,5019494,0,0,0,22500
ARW,1000000,0,4000040,0,1360200,2517506,14068
ESNT,1000000,212500,4118728,0,2850500,0,705224
PII,1123750,0,3300279,3417543,811348,0,220557
WW,1236000,0,5161249,0,2470084,0,6085
NCLH,1000822,1000000,5224983,0,1572551,0,66236
GOLF,1082000,0,5000048,0,1737259,965037,54373
ADT,1114546,0,5977119,0,1501589,0,243553
EHC,1050000,0,4453885,951957,2313612,0,66922
AKRO,660000,0,1818920,5979787,376200,0,0
AVNT,1170000,0,2006978,2006666,3525325,0,118752
HRB,997734,0,6200037,0,1438186,0,178400
GOOG,2000000,0,0,0,0,0,6802824
CNK,900000,0,5399991,0,2443500,0,59002
PSA,900000,0,3165047,2473044,2220000,0,18200
DOUG,2018678,0,4043750,0,2661062,0,45000
RAD,1043713,0,7106993,0,0,0,617105
AOS,1076500,0,3146180,0,4297000,0,236976
WAL,1400000,0,5765512,0,1491000,0,95517
CYTK,790000,0,3228225,4196775,533250,0,2807
ATRC,804310,0,6738465,0,1193314,0,13200
WAT,1097500,0,3825193,3750043,0,0,69444
ITGR,1227596,0,5499971,0,1913184,0,97746
IMAX,1200000,0,5499992,0,1954521,0,74122
VOYA,950000,0,5830245,0,1752750,113898,75479
REYN,1550000,0,3875014,0,2994600,0,301404
PROK,244961,0,0,8345464,120824,0,891
HY,940791,0,5183681,0,2246275,33762,290430
ROOT,750000,2600000,2121471,0,3206250,0,10085
EVC,475000,525000,7678000,0,0,0,3912
DGII,542308,0,6914355,0,1210000,0,13975
FLYW,450000,0,7628574,0,585000,0,9998
EPR,875500,2234823,5451878,0,0,0,110058
GKOS,765000,0,1000019,6879765,0,0,9900
LCII,1155000,0,7169980,0,0,0,317863
PRGS,598750,0,5784591,1400004,642000,0,210189
CRBG,1250000,0,2927993,999997,3250000,131915,72192
EYE,1000000,0,6000007,0,1578900,0,38531
RXRX,560833,0,3478140,4328352,224483,0,21400
HP,1094586,0,5279880,0,1642709,0,578788
TOST,20000,0,3159588,5397287,0,0,11237
ULCC,677128,1955565,5288374,0,651736,0,9900
SWI,750000,0,6772653,0,1035000,0,13200
CW,989231,0,3010000,0,2252400,1402500,908180
TDY,1100000,0,1572503,0,3176396,2696653,12000
SON,1192388,0,6876983,0,0,0,469222
KMPR,1000000,0,4399946,1700766,1360000,0,73934
OSPN,575000,0,7866015,0,0,0,89200
BL,468833,0,7851384,0,207095,0,0
XRAY,1000000,0,4629248,1437346,1212500,0,239893
QUAD,1087371,0,1532489,0,5242345,0,648281
DRI,1000000,0,4252311,1310215,1590000,0,347503
SABR,852116,0,6329742,0,1126808,0,172024
RRGB,1019231,250000,5827592,0,1301170,0,65453
UFPI,859992,0,5795703,0,1743746,0,55094
ROLL,950000,0,5984946,0,1425000,0,90271
GDOT,800000,0,7631486,0,0,0,6360
OGE,1158290,0,4533361,0,1485597,1103668,154250
MIDD,975000,0,6140784,0,1300650,0,18445
DH,439800,0,7719857,0,233385,0,41667
RMBS,625000,0,7190089,0,595400,0,13104
TMCI,684384,0,5350966,1977589,393000,0,16696
STGW,1260000,500000,5873953,501000,0,0,284149
MTD,1001001,0,2468360,4436956,155155,0,355864
STAR,600000,0,7791612,0,0,0,13812
CRUS,700000,0,4333444,2166673,1182058,0,11650
WSC,967745,0,5665871,0,1723971,0,34062
OMI,1000000,0,5834851,0,1450000,0,105059
FIGS,1000000,192600,3449132,3000002,723750,0,22851
CINF,1195649,0,2730976,1809258,2412305,0,233323
HPP,1000000,192500,6192162,0,743750,0,241267
CBOE,287500,0,7150104,0,584990,0,343916
CLDX,721218,530000,0,7092975,0,0,17651
EWBC,1275000,0,4745307,0,2218500,0,119743
MTX,1046154,0,2204989,1439445,3195682,413206,55776
CYH,1287550,0,3690000,922000,2072955,347168,28550
KALA,709394,297945,4615426,2713852,0,0,6097
AEIS,947917,0,6140792,0,1191063,0,16350
MKTX,650000,0,5627725,705361,1300000,0,10000
TXG,544688,380363,4961928,2399071,0,0,0
PTEN,1000000,0,5930679,0,1340129,0,13200
DCO,959707,0,5001609,0,2247436,0,72191
IMRA,561190,0,0,7413342,302500,0,2719
BV,633333,0,5728622,0,1542800,0,372543
CBRL,1175000,0,4985393,0,1673200,0,438087
LDI,800000,1100000,6355634,0,0,0,9900
NOVT,784391,0,4862679,1800091,760809,0,54148
JBHT,997692,0,7204478,0,0,0,54163
ABM,1000000,0,5750227,0,1482375,0,21000
VIRT,1200000,1031250,4974000,0,1031250,0,15365
HASI,762180,0,5394398,0,2076419,0,16500
DEI,800000,0,7417873,0,0,0,21111
LPI,795192,0,5768703,0,1638096,0,34610
ADC,895481,0,4212330,0,3063015,0,55277
SBRA,925000,0,4519499,0,2775000,0,0
FOLD,698558,706650,4734510,2023673,0,0,38975
NKLA,388462,0,7777250,0,0,0,29423
AIRC,800000,0,7390311,0,0,0,4567
REGN,1875415,0,0,0,4275946,0,2032977
PHIN,781250,0,5891782,0,976500,0,530511
BH,900000,0,0,0,7271055,0,0
MCW,1000000,0,2999997,2999997,752095,0,415610
OCN,1000000,0,5563820,0,1580061,0,9900
ABG,1300000,0,4999895,0,1807650,0,31082
RHI,500000,0,5184571,0,2058492,0,383774
SSTK,700000,0,6644157,0,750400,0,18954
COLD,1000000,0,4967302,0,1992289,0,150071
OSIS,995000,0,4833221,0,1990000,204135,85392
BLDR,1000000,0,4102537,0,2993554,0,9900
ATO,1035577,0,3836071,0,1518808,1699356,14550
ANIP,764341,0,5756142,0,1544670,0,13200
AMH,800000,0,5497900,0,1766560,0,13275
SKY,719231,0,5822066,0,1525178,0,11171
MKL,1050000,0,5387107,0,1575000,0,56184
MTDR,1350000,0,3575900,0,3105000,0,25699
SKIL,750000,0,7301849,0,0,0,4000
ATGE,949846,0,5808957,0,1205839,0,89452
PACB,695125,0,6636014,0,700150,0,15286
MSTR,1000000,680000,5954383,0,0,0,393872
AROC,875000,0,5211360,0,1859375,0,75000
CENX,876923,2390000,2993127,0,1109790,295728,5979470
MAA,914723,500,4728342,0,2054026,0,318174
RCKT,625000,0,2330993,4668994,375000,0,13566
NSP,1125000,0,6544828,0,312947,0,27236
NRP,0,2369918,5638047,0,0,0,0
MKSI,950000,0,6000000,0,1021250,0,35288
TWST,685000,53796,6632151,0,501054,0,126636
CSGS,725385,0,5700333,0,1250490,0,320042
MTG,988462,0,5000012,0,1720500,239989,35050
