OPEID,name,city,state,region,median_debt,default_rate,highest_degree,ownership,locale,hbcu,admit_rate,SAT_avg,online_only,enrollment,net_price,avg_cost,net_tuition,ed_spending_per_student,avg_faculty_salary,pct_PELL,pct_fed_loan,grad_rate,pct_firstgen,med_fam_income,med_alum_earnings
400900,Mesabi Range College,Virginia,MN,Midwest,8.477,14.4,Associates,Public,Town,No,,,No,597,11.388,16.613,3.174,7.898,8.191,34.28,32.52,30.73,30.6122449,22.694,40.419
1037400,Metropolitan State University,Saint Paul,MN,Midwest,13.125,4.2,Graduate,Public,Large City,No,61.89,,No,6155,16.044,22.819,5.314,6.209,9.751,45.3,41.87,45.9,37.1321408,28.315,56.402
396900,University of Minnesota-Twin Cities,Minneapolis,MN,Midwest,16.75,1.7,Graduate,Public,Large City,No,69.64,1320.0,No,30907,17.878,27.654,14.558,16.272,12.182,17.86,36.7,84.26,18.6560199,76.0285,61.201
406900,University of Minnesota-Crookston,Crookston,MN,Midwest,13.0,5.3,Bachelors,Public,Town,No,72.15,,No,1754,11.593,23.804,5.706,7.253,8.054,21.21,35.51,50.65,29.0398127,51.028,47.869
236500,Minneapolis College of Art and Design,Minneapolis,MN,Midwest,18.23,1.3,Graduate,Private nonprofit,Large City,No,54.68,,No,656,29.062,53.01,21.314,15.48,7.631,37.24,86.88,63.33,20.8333333,52.219,41.177
236200,Minneapolis Community and Technical College,Minneapolis,MN,Midwest,10.5,16.1,Associates,Public,Large City,No,,,No,5203,12.908,17.782,2.729,6.088,8.48,42.96,26.68,17.04,38.6980109,19.8865,39.341
962108,Herzing University-Minneapolis,St. Louis Park,MN,Midwest,11.855,8.4,Graduate,Private nonprofit,Suburb,No,92.06,,No,620,23.164,28.018,12.902,4.538,6.851,55.45,86.77,64.71,52.0903265,18.321,33.093
2238100,Minnesota School of Cosmetology-Woodbury Campus,WOODBURY,MN,Midwest,6.333,8.2,Certificate,Prviate for-profit,Suburb,No,,,No,149,19.551,21.887,18.219,6.676,,21.78,26.67,69.35,36.2264151,23.941,27.921
238800,University of Minnesota-Duluth,Duluth,MN,Midwest,16.034,2.6,Graduate,Public,Small City,No,78.55,1169.0,No,8351,18.505,25.326,8.673,7.827,8.622,20.5,51.8,61.5,18.3406114,83.3085,54.75
238900,University of Minnesota-Morris,Morris,MN,Midwest,12.0,3.4,Bachelors,Public,Town,No,64.65,1199.0,No,1243,10.529,24.636,4.384,12.215,7.536,31.42,45.36,59.85,20.2551834,60.191,47.373
983100,Model College of Hair Design,Saint Cloud,MN,Midwest,6.635,17.5,Certificate,Prviate for-profit,Small City,No,,,No,75,10.448,15.358,10.909,1.857,,47.52,69.5,68.75,29.6296296,43.665,29.181
236700,Minnesota State University Moorhead,Moorhead,MN,Midwest,15.0,3.0,Graduate,Public,Suburb,No,66.05,1106.0,No,4207,17.68,22.525,6.082,8.407,9.373,29.84,54.93,54.86,20.1385453,64.366,47.117
237000,North Hennepin Community College,Brooklyn Park,MN,Midwest,9.25,8.7,Associates,Public,Suburb,No,,,No,3951,10.081,14.41,3.478,5.887,8.361,31.91,20.7,17.24,37.5908222,29.576,47.257
795400,Normandale Community College,Bloomington,MN,Midwest,8.2,7.4,Associates,Public,Small City,No,,,No,6606,10.854,15.2,3.568,5.481,8.416,30.33,17.75,22.38,34.5918934,30.952,47.191
236900,North Central University,Minneapolis,MN,Midwest,18.5,3.6,Graduate,Private nonprofit,Large City,No,92.99,1077.0,No,921,22.27,37.644,11.772,5.799,7.09,37.14,65.16,53.49,22.1030043,59.157,40.511
238500,Northland Community and Technical College,Thief River Falls,MN,Midwest,9.5,11.2,Associates,Public,Town,No,,,No,1947,11.586,15.669,3.928,7.833,8.276,29.44,32.7,42.6,33.0039526,34.571,41.091
237100,University of Northwestern-St Paul,Saint Paul,MN,Midwest,17.5,2.4,Graduate,Private nonprofit,Suburb,No,92.22,,No,1658,22.56,43.817,14.782,7.81,6.267,17.39,35.84,68.6,16.4277839,69.363,45.104
1232800,Northwestern Health Sciences University,Bloomington,MN,Midwest,8.25,0.8,Graduate,Private nonprofit,Small City,No,,,No,237,19.132,25.985,24.711,10.793,7.056,24.44,63.17,66.67,24.8677249,28.697,35.057
999200,Oak Hills Christian College,Bemidji,MN,Midwest,10.0,11.1,Bachelors,Private nonprofit,Town,No,62.7,1009.0,No,98,17.418,30.607,9.652,7.043,4.01,60.0,57.78,32.14,,32.6095,28.224
553500,Pine Technical & Community College,Pine City,MN,Midwest,9.875,14.3,Associates,Public,Town,No,,,No,559,9.527,14.482,2.405,6.192,7.988,18.3,11.74,16.67,36.0801782,21.078,41.661
677500,Rainy River Community College,International Falls,MN,Midwest,5.5,19.0,Associates,Public,Town,No,,,No,121,7.489,13.022,3.412,6.401,8.312,39.52,26.19,25.86,30.9677419,25.3065,33.855
237300,Rochester Community and Technical College,Rochester,MN,Midwest,9.25,9.0,Associates,Public,Small City,No,,,No,3757,15.149,19.165,4.126,7.383,8.724,32.4,27.43,23.94,33.3333333,32.106,42.936
234100,College of Saint Benedict,Saint Joseph,MN,Midwest,24.247,1.5,Bachelors,Private nonprofit,Suburb,No,84.01,1201.0,No,1662,25.954,60.788,19.165,12.46,8.573,23.23,66.02,85.06,21.4084507,86.6205,56.367
553400,St Cloud Technical and Community College,Saint Cloud,MN,Midwest,8.204,8.3,Associates,Public,Small City,No,,,No,3307,9.249,13.539,3.203,7.15,8.343,42.33,35.53,34.41,32.0663162,33.4125,46.359
237700,Saint Cloud State University,Saint Cloud,MN,Midwest,14.37,4.6,Graduate,Public,Small City,No,73.22,1087.0,No,7210,14.581,19.635,6.248,9.135,9.961,25.11,36.68,44.81,26.7662399,51.641,51.372
237900,Saint Johns University,Collegeville,MN,Midwest,23.25,2.8,Graduate,Private nonprofit,Rural,No,81.38,1193.0,No,1564,25.487,59.972,18.97,13.95,8.683,20.75,61.51,74.44,17.5273865,98.568,68.716
238000,Saint Mary's University of Minnesota,Winona,MN,Midwest,15.25,2.0,Graduate,Private nonprofit,Town,No,84.1,,No,1315,21.101,49.2,14.731,7.403,6.945,29.99,59.85,61.68,26.1538462,54.7725,54.95
